CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
SAMD11	SAMD11	SAMD11	SAMD11	SAMD11
NOC2L	NOC2L	NOC2L	NOC2L	NOC2L
PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1
HES4	HES4	HES4	HES4	HES4
ISG15	ISG15	ISG15	ISG15	ISG15
C1orf159	C1orf159	C1orf159	C1orf159	C1orf159
TTLL10	TTLL10	TTLL10	TTLL10	TTLL10
TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4
SDF4	SDF4	SDF4	SDF4	SDF4
B3GALT6	B3GALT6	B3GALT6	B3GALT6	B3GALT6
UBE2J2	UBE2J2	UBE2J2	UBE2J2	UBE2J2
ACAP3	ACAP3	ACAP3	ACAP3	ACAP3
PUSL1	PUSL1	PUSL1	PUSL1	PUSL1
CPSF3L	CPSF3L	CPSF3L	CPSF3L	CPSF3L
DVL1	DVL1	DVL1	DVL1	DVL1
MXRA8	MXRA8	MXRA8	MXRA8	MXRA8
AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1
MRPL20	MRPL20	MRPL20	MRPL20	MRPL20
VWA1	VWA1	VWA1	VWA1	VWA1
ATAD3B	ATAD3B	ATAD3B	ATAD3B	ATAD3B
ATAD3A	ATAD3A	ATAD3A	ATAD3A	ATAD3A
SSU72	SSU72	SSU72	SSU72	SSU72
SLC35E2	SLC35E2	SLC35E2	SLC35E2	SLC35E2
GNB1	GNB1	GNB1	GNB1	GNB1
TMEM52	TMEM52	TMEM52	TMEM52	TMEM52
GABRD	GABRD	GABRD	GABRD	GABRD
PRKCZ	PRKCZ	PRKCZ	PRKCZ	PRKCZ
C1orf86	C1orf86	C1orf86	C1orf86	C1orf86
SKI	SKI	SKI	SKI	SKI
MORN1	MORN1	MORN1	MORN1	MORN1
PEX10	PEX10	PEX10	PEX10	PEX10
PANK4	PANK4	PANK4	PANK4	PANK4
FAM213B	FAM213B	FAM213B	FAM213B	FAM213B
ACTRT2	ACTRT2	ACTRT2	ACTRT2	ACTRT2
ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16
TPRG1L	TPRG1L	TPRG1L	TPRG1L	TPRG1L
WRAP73	WRAP73	WRAP73	WRAP73	WRAP73
TP73	TP73	TP73	TP73	TP73
CCDC27	CCDC27	CCDC27	CCDC27	CCDC27
LRRC47	LRRC47	LRRC47	LRRC47	LRRC47
DFFB	DFFB	DFFB	DFFB	DFFB
C1orf174	C1orf174	C1orf174	C1orf174	C1orf174
AJAP1	AJAP1	AJAP1	AJAP1	AJAP1
KCNAB2	KCNAB2	KCNAB2	KCNAB2	KCNAB2
CHD5	CHD5	CHD5	CHD5	CHD5
RPL22	RPL22	RPL22	RPL22	RPL22
RNF207	RNF207	RNF207	RNF207	RNF207
ICMT	ICMT	ICMT	ICMT	ICMT
GPR153	GPR153	GPR153	GPR153	GPR153
ACOT7	ACOT7	ACOT7	ACOT7	ACOT7
ESPN	ESPN	ESPN	ESPN	ESPN
TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5
NOL9	NOL9	NOL9	NOL9	NOL9
TAS1R1	TAS1R1	TAS1R1	TAS1R1	TAS1R1
ZBTB48	ZBTB48	ZBTB48	ZBTB48	ZBTB48
PHF13	PHF13	PHF13	PHF13	PHF13
THAP3	THAP3	THAP3	THAP3	THAP3
DNAJC11	DNAJC11	DNAJC11	DNAJC11	DNAJC11
VAMP3	VAMP3	VAMP3	VAMP3	VAMP3
PER3	PER3	PER3	PER3	PER3
UTS2	UTS2	UTS2	UTS2	UTS2
TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9
PARK7	PARK7	PARK7	PARK7	PARK7
ERRFI1	ERRFI1	ERRFI1	ERRFI1	ERRFI1
RERE	RERE	RERE	RERE	RERE
ENO1	ENO1	ENO1	ENO1	ENO1
SLC2A7	SLC2A7	SLC2A7	SLC2A7	SLC2A7
SLC2A5	SLC2A5	SLC2A5	SLC2A5	SLC2A5
GPR157	GPR157	GPR157	GPR157	GPR157
H6PD	H6PD	H6PD	H6PD	H6PD
SPSB1	SPSB1	SPSB1	SPSB1	SPSB1
SLC25A33	SLC25A33	SLC25A33	SLC25A33	SLC25A33
PIK3CD	PIK3CD	PIK3CD	PIK3CD	PIK3CD
CLSTN1	CLSTN1	CLSTN1	CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1
LZIC	LZIC	LZIC	LZIC	LZIC
NMNAT1	NMNAT1	NMNAT1	NMNAT1	NMNAT1
RBP7	RBP7	RBP7	RBP7	RBP7
UBE4B	UBE4B	UBE4B	UBE4B	UBE4B
KIF1B	KIF1B	KIF1B	KIF1B	KIF1B
PGD	PGD	PGD	PGD	PGD
APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT
APITD1	APITD1	APITD1	APITD1	APITD1
CORT	CORT	CORT	CORT	CORT
DFFA	DFFA	DFFA	DFFA	DFFA
CASZ1	CASZ1	CASZ1	CASZ1	CASZ1
TARDBP	TARDBP	TARDBP	TARDBP	TARDBP
MASP2	MASP2	MASP2	MASP2	MASP2
SRM	SRM	SRM	SRM	SRM
EXOSC10	EXOSC10	EXOSC10	EXOSC10	EXOSC10
MTOR	MTOR	MTOR	MTOR	MTOR
ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7
UBIAD1	UBIAD1	UBIAD1	UBIAD1	UBIAD1
FBXO2	FBXO2	FBXO2	FBXO2	FBXO2
FBXO44	FBXO44	FBXO44	FBXO44	FBXO44
FBXO6	FBXO6	FBXO6	FBXO6	FBXO6
MAD2L2	MAD2L2	MAD2L2	MAD2L2	MAD2L2
C1orf187	DRAXIN	DRAXIN	DRAXIN	DRAXIN
AGTRAP	AGTRAP	AGTRAP	AGTRAP	AGTRAP
MTHFR	MTHFR	MTHFR	MTHFR	MTHFR
CLCN6	CLCN6	CLCN6	CLCN6	CLCN6
NPPA	NPPA	NPPA	NPPA	NPPA
NPPB	NPPB	NPPB	NPPB	NPPB
KIAA2013	KIAA2013	KIAA2013	KIAA2013	KIAA2013
PLOD1	PLOD1	PLOD1	PLOD1	PLOD1
MIIP	MIIP	MIIP	MIIP	MIIP
TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B
DHRS3	DHRS3	DHRS3	DHRS3	DHRS3
C1orf158	C1orf158	C1orf158	C1orf158	C1orf158
PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1
PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2
PRDM2	PRDM2	PRDM2	PRDM2	PRDM2
KAZN	KAZN	KAZN	KAZN	KAZN
TMEM51	TMEM51	TMEM51	TMEM51	TMEM51
EFHD2	EFHD2	EFHD2	EFHD2	EFHD2
CTRC	CTRC	CTRC	CTRC	CTRC
CELA2A	CELA2A	CELA2A	CELA2A	CELA2A
CASP9	CASP9	CASP9	CASP9	CASP9
AGMAT	AGMAT	AGMAT	AGMAT	AGMAT
RSC1A1	RSC1A1	RSC1A1	RSC1A1	RSC1A1
SLC25A34	SLC25A34	SLC25A34	SLC25A34	SLC25A34
FBLIM1	FBLIM1	FBLIM1	FBLIM1	FBLIM1
SPEN	SPEN	SPEN	SPEN	SPEN
ZBTB17	ZBTB17	ZBTB17	ZBTB17	ZBTB17
C1orf64	C1orf64	C1orf64	C1orf64	C1orf64
CLCNKA	CLCNKA	CLCNKA	CLCNKA	CLCNKA
CLCNKB	CLCNKB	CLCNKB	CLCNKB	CLCNKB
EPHA2	EPHA2	EPHA2	EPHA2	EPHA2
ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19
RSG1	RSG1	RSG1	RSG1	RSG1
SPATA21	SPATA21	SPATA21	SPATA21	SPATA21
NECAP2	NECAP2	NECAP2	NECAP2	NECAP2
MFAP2	MFAP2	MFAP2	MFAP2	MFAP2
ATP13A2	ATP13A2	ATP13A2	ATP13A2	ATP13A2
SDHB	SDHB	SDHB	SDHB	SDHB
PADI2	PADI2	PADI2	PADI2	PADI2
PADI1	PADI1	PADI1	PADI1	PADI1
PADI3	PADI3	PADI3	PADI3	PADI3
PADI4	PADI4	PADI4	PADI4	PADI4
RCC2	RCC2	RCC2	RCC2	RCC2
ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L
ACTL8	ACTL8	ACTL8	ACTL8	ACTL8
IGSF21	IGSF21	IGSF21	IGSF21	IGSF21
KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A
PAX7	PAX7	PAX7	PAX7	PAX7
TAS1R2	TAS1R2	TAS1R2	TAS1R2	TAS1R2
ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1
UBR4	UBR4	UBR4	UBR4	UBR4
EMC1	EMC1	EMC1	EMC1	EMC1
MRTO4	MRTO4	MRTO4	MRTO4	MRTO4
AKR7A3	AKR7A3	AKR7A3	AKR7A3	AKR7A3
AKR7A2	AKR7A2	AKR7A2	AKR7A2	AKR7A2
PQLC2	PQLC2	PQLC2	PQLC2	PQLC2
NBL1	NBL1	NBL1	NBL1	NBL1
HTR6	HTR6	HTR6	HTR6	HTR6
TMCO4	TMCO4	TMCO4	TMCO4	TMCO4
RNF186	RNF186	RNF186	RNF186	RNF186
PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E
PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A
PLA2G5	PLA2G5	PLA2G5	PLA2G5	PLA2G5
PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D
PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F
UBXN10	UBXN10	UBXN10	UBXN10	UBXN10
CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1
MUL1	MUL1	MUL1	MUL1	MUL1
FAM43B	FAM43B	FAM43B	FAM43B	FAM43B
CDA	CDA	CDA	CDA	CDA
PINK1	PINK1	PINK1	PINK1	PINK1
DDOST	DDOST	DDOST	DDOST	DDOST
KIF17	KIF17	KIF17	KIF17	KIF17
EIF4G3	EIF4G3	EIF4G3	EIF4G3	EIF4G3
ECE1	ECE1	ECE1	ECE1	ECE1
NBPF3	NBPF3	NBPF3	NBPF3	NBPF3
ALPL	ALPL	ALPL	ALPL	ALPL
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP
CELA3B	CELA3B	CELA3B	CELA3B	CELA3B
CELA3A	CELA3A	CELA3A	CELA3A	CELA3A
CDC42	CDC42	CDC42	CDC42	CDC42
WNT4	WNT4	WNT4	WNT4	WNT4
ZBTB40	ZBTB40	ZBTB40	ZBTB40	ZBTB40
EPHA8	EPHA8	EPHA8	EPHA8	EPHA8
C1QA	C1QA	C1QA	C1QA	C1QA
C1QC	C1QC	C1QC	C1QC	C1QC
C1QB	C1QB	C1QB	C1QB	C1QB
EPHB2	EPHB2	EPHB2	EPHB2	EPHB2
HTR1D	HTR1D	HTR1D	HTR1D	HTR1D
HNRNPR	HNRNPR	HNRNPR	HNRNPR	HNRNPR
ZNF436	ZNF436	ZNF436	ZNF436	ZNF436
ASAP3	ASAP3	ASAP3	ASAP3	ASAP3
E2F2	E2F2	E2F2	E2F2	E2F2
ID3	ID3	ID3	ID3	ID3
RPL11	RPL11	RPL11	RPL11	RPL11
TCEB3	TCEB3	TCEB3	TCEB3	TCEB3
PITHD1	PITHD1	PITHD1	PITHD1	PITHD1
LYPLA2	LYPLA2	LYPLA2	LYPLA2	LYPLA2
