GENE	ALL_0.1%	%ALL_0.1%	%OEratio	%ExAC_0.05%popn	OEratio-percentile[ExAC]	LoF-FDR[ExAC]	ExAC_v2_0.05%popn	%ExAC_v2_0.05%popn	Edge Case (ExAC_v2)	OEratio-percentile[ExAC_v2]
A1BG	-0.47	23.51	NA	18.29	76.1449	0.8095814	-0.5427	25.9922	N	86.4297
A1CF	-0.38	28.01	NA	11.53	31.5874	0.009642604	-1.0975	11.2121	N	33.1616
A2M	0.1	60.76	NA	31.88	46.5874	0.000246125	-0.1409	42.6588	N	53.4244
A2ML1	2.42	98.53	NA	98.85	66.3772	0.4551833	1.6532	94.9951	N	63.1622
A3GALT2	NA	NA	NA	NA	92.9812	0.9993496	NA	NA	NA	NA
A4GALT	-0.29	33.34	NA	26.4	52.0354	0.4309956	-0.3917	31.8377	N	61.8364
A4GNT	1.11	92.04	NA	86.61	46.1228	0.03822979	0.6145	75.8162	N	62.6469
AAAS	-0.91	9.96	NA	34.74	77.6162	0.2678406	-0.0631	46.4223	N	73.0620
AACS	-1.17	6.04	NA	90.9	91.2334	0.8807252	1.2413	90.5279	N	98.6453
AADAC	-0.09	46.92	NA	75.17	54.8396	0.4790128	0.3650	66.2561	N	67.3305
AADACL2	-0.31	31.93	NA	78.15	37.1958	0.4652944	0.3749	66.7058	N	56.7823
AADACL3	2.13	97.92	NA	88.78	64.4303	0.7786481	0.6270	76.2952	N	54.4955
AADACL4	-0.62	17.32	NA	56.58	97.6217	0.438909	0.3434	65.3275	N	86.6902
AADAT	-0.12	44.89	Y	21.34	9.4137	0.2884422	-0.6446	22.6100	N	20.7955
AAED1	0.17	65.56	Y	90.14	99.5575	1	0.8974	83.9883	N	99.0505
AAGAB	0.02	55.61	NA	50.97	71.9137	0.02228274	0.1699	57.7126	N	80.3798
AAK1	-0.66	15.91	NA	25.83	24.3639	5.95E-06	-0.5746	24.8778	N	13.4777
AAMDC	0.28	71.08	NA	56.91	74.5631	0.7289784	0.1281	55.6989	Y	50.4487
AAMP	0.04	57.15	NA	36.83	21.6261	0.1158129	-0.1392	42.7273	N	20.8591
AANAT	-0.07	48.54	NA	83.15	59.9281	0.6393392	0.8628	83.3040	N	87.3560
AAR2	-0.31	32.06	NA	80.15	47.7046	0.7420775	0.6685	77.6442	N	46.2166
AARD	NA	NA	NA	34.28	63.4679	0.4264196	0.0995	54.2913	Y	93.9038
AARS	-0.66	16.12	NA	4.2	36.9469	0.001017451	-1.4340	6.5982	N	45.3309
AARS2	1.14	92.37	NA	84.18	66.3662	0.04389605	0.2743	62.3265	N	68.2684
AARSD1	-0.07	48.78	NA	71.67	69.8507	0.6728425	0.9005	84.0567	N	52.6371
AASDH	1.05	91.37	NA	78.13	79.4414	0.009887263	0.5181	72.4145	N	87.6860
AASDHPPT	-0.38	27.42	Y	35.77	46.5155	0.1620603	-0.2628	37.3412	N	47.9361
AASS	-0.91	10.12	NA	18.78	64.0763	0.1296416	-0.7365	19.9120	N	60.7827
AATF	-0.29	33.47	NA	40.71	73.6007	0.3323063	-0.0019	49.3744	N	71.2557
AATK	NA	NA	NA	NA	40.7799	0.000478051	1.3109	91.6129	N	60.9217
ABAT	-0.33	30.74	NA	25.19	34.6792	0.0180015	-0.6099	23.7146	N	66.6126
ABCA1	-0.24	36.29	NA	2.62	27.0354	5.93E-07	-2.5286	1.7302	N	25.9712
ABCA10	1.04	91.15	NA	97.83	74.9779	0.2731323	1.8174	95.9726	N	64.0827
ABCA12	-0.3	32.27	NA	6.88	45.0830	8.24E-08	-1.5375	5.7283	N	38.8525
ABCA13	4.73	99.79	NA	99.89	74.8617	0.501588	4.4470	99.6481	N	77.0335
ABCA2	-4.24	0.12	NA	4.13	7.4502	4.98E-10	-1.4948	6.0704	N	8.1978
ABCA3	-1.48	3.71	NA	6.7	40.9071	0.01145775	0.4362	69.1887	N	48.6829
ABCA4	0.74	86.31	NA	99.07	69.0597	0.09224178	2.6650	98.6999	N	63.1506
ABCA5	0.77	86.96	NA	87.21	51.2334	0.003440299	0.4611	70.2835	N	52.9671
ABCA6	0.26	70.44	NA	90.43	78.1858	0.05808861	0.9651	85.4936	N	81.5377
ABCA7	-2.15	1.46	NA	99.1	79.1814	0.9087648	3.5151	99.4037	N	70.7289
ABCA8	0.91	89.47	NA	98.66	82.3064	0.7954278	2.8418	98.9150	N	84.5945
ABCA9	0	53.73	NA	37.47	69.5962	0.4304292	0.4349	69.1202	N	60.1227
ABCB1	0.1	60.76	NA	22.03	34.7898	2.54E-06	-1.0084	13.0792	N	27.8759
ABCB10	-0.13	43.91	NA	31.93	55.5310	0.9085424	-0.4190	30.7625	N	63.7411
ABCB11	-1.14	6.39	NA	8.45	29.9945	0.027034	0.0443	51.5934	N	28.3159
ABCB4	-0.55	20.02	NA	6.93	63.7666	0.003240021	-0.9753	13.6852	N	38.1115
ABCB5	4.18	99.7	NA	99.55	85.3042	0.02894172	3.6179	99.4624	N	70.7405
ABCB6	-0.37	28.26	NA	74.59	45.2710	0.798394	0.7831	81.2512	N	39.2289
ABCB7	0.86	88.69	NA	86.54	8.5841	0.00375411	0.6147	80.5643	N	5.8010
ABCB8	0.3	71.64	NA	60.63	57.5277	0.2442444	0.1765	57.9961	N	77.0509
ABCB9	-1.82	2.16	NA	7	60.0608	0.1872093	-0.9426	14.4770	N	93.8227
ABCC1	-0.84	11.29	NA	2.89	20.8739	0.000114387	-1.6515	4.9756	N	23.4991
ABCC10	-1.71	2.51	NA	21.64	51.8308	0.4823498	1.1028	88.1232	N	43.4030
ABCC11	1.62	96.04	NA	97.76	62.0907	0.7201479	1.9594	96.8133	N	67.3826
ABCC12	1.11	92.07	NA	96.13	72.0243	0.8637593	1.3439	92.0137	N	91.9643
ABCC2	0.96	90.09	NA	86.24	88.5675	0.4715324	0.4445	69.5601	N	75.1057
ABCC3	0.69	85.21	NA	42.82	80.6084	0.2498831	0.7480	80.2346	N	93.2959
ABCC4	0.21	67.72	NA	33.69	38.5564	0.000393038	-0.2535	37.7713	N	31.2163
ABCC5	-1.97	1.82	NA	0.5	17.6825	3.74E-05	-2.6144	1.5249	N	17.5939
ABCC6	0.63	83.54	NA	56.05	76.0896	0.003287414	0.9374	84.7507	N	79.5461
ABCC8	-2.09	1.57	NA	1.33	28.0476	0.3814666	-1.2776	8.6022	N	45.0067
ABCC9	-1.97	1.82	NA	1.48	9.5852	0.02691294	-2.3690	2.0723	N	7.2251
ABCD1	-0.54	20.54	NA	24.7	15.8960	0.007149064	-0.5728	20.6897	N	17.0208
ABCD2	-0.09	46.92	NA	12.84	15.7190	0.5771439	-0.7738	18.7977	N	21.1891
ABCD3	-0.65	16.44	NA	16.6	12.1903	7.47E-06	-0.4217	30.6354	N	10.6177
ABCD4	0.8	87.72	NA	78.57	36.2777	0.3905739	0.7100	79.1105	N	96.6769
ABCE1	-0.25	35.42	Y	14.93	2.1018	6.05E-05	-0.7857	18.5044	N	3.8789
ABCF1	-0.22	37.54	NA	65.86	26.1394	0.1344725	-0.3099	35.3079	N	21.6812
ABCF2	-0.47	23.51	NA	4.33	7.6493	0.000222806	-1.5930	5.3666	N	8.0704
ABCF3	-0.77	13.15	NA	26.1	45.3982	0.02648419	0.1613	57.3314	N	38.8583
ABCG1	-1.37	4.43	NA	4.94	38.0531	0.0832122	-1.3656	7.4780	N	28.5822
ABCG2	-0.2	39.17	NA	79.24	91.2611	0.7120368	0.3039	63.6461	N	94.2396
ABCG4	-0.07	48.69	NA	11.87	19.7235	0.5329384	-0.9278	14.8485	N	23.4007
ABCG5	1.16	92.65	NA	95.46	80.5420	0.9428245	1.2656	90.9580	N	79.2219
ABCG8	0.74	86.38	NA	86.49	90.9900	0.7728014	0.7690	80.8309	N	89.7760
ABHD1	-0.11	45.49	NA	43.58	91.3496	1	-0.0129	48.7879	N	94.1469
