GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	RVIS_ExAC_0.1%	RVIS_ExAC_0.05%popn
AADACL3	1.41	94.54	2.13	97.92	1.47	95.84	0.59	86.31	1.21	93.06	1.46	94.94	2.62	99.03	1.85	96.61	NA	NA	81.82	89.11
AADACL4	-0.71	12.76	-0.62	17.32	-0.14	40.45	-0.04	45.79	-0.3	33.22	-0.66	14.26	-0.56	19.5	-0.84	10.3	NA	NA	18.11	53.28
ABCA4	-1.62	2.09	0.74	86.31	0.69	84.39	-0.04	45.95	2.19	97.93	-0.89	7.93	-1.34	5.25	-1.47	3.15	NA	NA	98.13	98.72
ABCB10	-0.29	33.48	-0.13	43.91	0	49.88	-0.33	25.93	-0.47	24.26	0.29	74.69	-0.08	44.23	-0.31	32.45	NA	NA	24.92	39.40
ABCD3	-0.56	17.89	-0.65	16.44	-1.34	5.66	-0.45	20	-0.38	29.05	-0.47	23.43	-0.97	9.55	-0.63	16.36	NA	NA	18.45	14.89
ABL2	-0.6	16.25	-0.99	8.6	-1.87	2.67	-0.3	27.05	-0.14	44.56	-0.21	40.15	-0.96	9.86	-0.8	11.22	NA	NA	24.59	7.78
ACADM	-0.46	22.89	-0.25	35.99	-0.18	37.81	-0.33	25.66	0.48	79.08	-0.41	27.43	-0.82	12.34	-0.69	14.27	NA	NA	31.58	37.95
ACAP3	-1.01	6.61	-0.35	29.49	-0.99	9.65	-0.1	40.33	-0.42	26.02	-0.98	6.89	-1.03	8.67	-0.76	12.16	NA	NA	NA	12.53
ACBD3	0.05	63.48	0.15	64.51	0.1	56.51	0.36	77.71	0.33	73.49	0.27	74.39	-0.43	24.51	-0.22	39.22	NA	NA	70.76	70.88
ACBD6	-0.26	36.41	-0.43	25.15	-0.2	36.75	-0.1	41.12	-0.32	32.45	-0.19	43.65	-0.16	39.78	-0.27	35.97	0.35	60.05	22.52	21.18
ACOT11	1.73	96.23	0.72	85.86	-0.38	27.26	0.38	78.43	1.67	96.1	1.61	95.63	0.34	72.08	0.47	80.26	NA	NA	94.1	83.65
ACOT7	-0.62	15.69	-0.76	13.45	-1.35	5.54	-0.24	30.91	-0.68	16.14	-0.66	14.79	-0.59	18.91	-0.54	19.74	NA	NA	9.95	9.54
ACP6	0.7	86.66	0.86	88.74	0.78	86.57	0.74	90.01	0.59	82.27	0.48	81.73	0.9	89.16	0.08	63.86	NA	NA	84.66	90.28
