CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS
SAMD11	SAMD11	SAMD11	SAMD11	SAMD11	1.798257609	98.18255484	Unassessed	Unassessed
NOC2L	NOC2L	NOC2L	NOC2L	NOC2L	0.166111008	62.21566244	N	59.16646591
PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	1.556985218	97.26225618	N	70.47097085
ISG15	ISG15	ISG15	ISG15	ISG15	0.39426906	75.53973491	N	87.77403035
TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	1.08568913	93.79521908	Unassessed	Unassessed
TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	0.65129239	85.65144412	Unassessed	Unassessed
SDF4	SDF4	SDF4	SDF4	SDF4	0.391698646	75.46449036	N	13.40640809
UBE2J2	UBE2J2	UBE2J2	UBE2J2	UBE2J2	-0.349641992	26.83336227	Y	5.956396049
ACAP3	ACAP3	ACAP3	ACAP3	ACAP3	-0.752745356	12.53111073	N	23.34377258
PUSL1	PUSL1	PUSL1	PUSL1	PUSL1	0.321150679	71.84696417	Unassessed	Unassessed
CPSF3L	CPSF3L	CPSF3L	CPSF3L	CPSF3L	-1.204876245	5.52758002	N	15.02047699
DVL1	DVL1	DVL1	DVL1	DVL1	-0.71684682	13.47456156	N	39.22548783
MXRA8	MXRA8	MXRA8	MXRA8	MXRA8	-0.236942655	33.25230075	Unassessed	Unassessed
AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	0.280765669	69.35810615	N	89.17128403
MRPL20	MRPL20	MRPL20	MRPL20	MRPL20	-0.130139339	40.0821902	Y	52.76439412
VWA1	VWA1	VWA1	VWA1	VWA1	0.224567453	65.92000926	Unassessed	Unassessed
ATAD3B	ATAD3B	ATAD3B	ATAD3B	ATAD3B	3.065512133	99.56010882	N	60.73837629
ATAD3A	ATAD3A	ATAD3A	ATAD3A	ATAD3A	1.104824858	93.99780054	N	34.25680559
SSU72	SSU72	SSU72	SSU72	SSU72	-0.187446039	36.28523471	Y	0.168634064
SLC35E2	SLC35E2	SLC35E2	SLC35E2	SLC35E2	1.158817501	94.62290907	Unassessed	Unassessed
GNB1	GNB1	GNB1	GNB1	GNB1	-0.327132777	27.8867859	Y	0.596241869
TMEM52	TMEM52	TMEM52	TMEM52	TMEM52	0.217871355	65.53221045	Y	27.28860516
GABRD	GABRD	GABRD	GABRD	GABRD	-0.42451861	23.36632517	N	3.980968441
PRKCZ	PRKCZ	PRKCZ	PRKCZ	PRKCZ	-0.885087781	9.874399491	N	11.099735
