CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	0.1%RVIS	0.1%RVIS%	EdgeCase	OEratio%tile
NOC2L	NOC2L	NOC2L	NOC2L	NOC2L	0.036678689	56.26916726	N	59.16646591
PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	0.900159287	89.32531257	N	70.47097085
ISG15	ISG15	ISG15	ISG15	ISG15	-0.115612493	45.12856806	N	87.77403035
C1orf159	C1orf159	C1orf159	C1orf159	C1orf159	-0.227663163	37.11370606	Y	84.81691159
TTLL10	TTLL10	TTLL10	TTLL10	TTLL10	3.269164597	99.39844303	N	78.40881715
SDF4	SDF4	SDF4	SDF4	SDF4	-0.598810865	18.13517339	N	13.40640809
UBE2J2	UBE2J2	UBE2J2	UBE2J2	UBE2J2	-0.405853867	26.23260203	Y	5.956396049
ACAP3	ACAP3	ACAP3	ACAP3	ACAP3	-0.352661697	29.48808681	N	23.34377258
CPSF3L	CPSF3L	CPSF3L	CPSF3L	CPSF3L	-1.815166288	2.164425572	N	15.02047699
DVL1	DVL1	DVL1	DVL1	DVL1	-1.168429872	6.062750649	N	39.22548783
AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	-0.071520315	48.34866714	N	89.17128403
MRPL20	MRPL20	MRPL20	MRPL20	MRPL20	0.125076652	62.7388535	Y	52.76439412
ATAD3B	ATAD3B	ATAD3B	ATAD3B	ATAD3B	2.166192036	98.0301958	N	60.73837629
ATAD3A	ATAD3A	ATAD3A	ATAD3A	ATAD3A	0.119404819	62.20806794	N	34.25680559
SSU72	SSU72	SSU72	SSU72	SSU72	-0.141298762	42.87567823	Y	0.168634064
GNB1	GNB1	GNB1	GNB1	GNB1	-0.317668748	31.45789101	Y	0.596241869
TMEM52	TMEM52	TMEM52	TMEM52	TMEM52	0.104848986	61.49445624	Y	27.28860516
GABRD	GABRD	GABRD	GABRD	GABRD	-0.510624372	21.65015334	N	3.980968441
PRKCZ	PRKCZ	PRKCZ	PRKCZ	PRKCZ	-0.975433863	8.852323661	N	11.099735
C1orf86	C1orf86	C1orf86	C1orf86	C1orf86	0.371224249	75.12384996	N	78.64370031
MORN1	MORN1	MORN1	MORN1	MORN1	-0.08446956	47.15145081	N	61.58756926
PEX10	PEX10	PEX10	PEX10	PEX10	-0.26629572	34.81953291	N	57.12478921
PANK4	PANK4	PANK4	PANK4	PANK4	-0.971800989	8.946685539	N	46.35629969
FAM213B	FAM213B	FAM213B	FAM213B	FAM213B	-0.007201372	53.19061099	Y	98.86774271
ACTRT2	ACTRT2	ACTRT2	ACTRT2	ACTRT2	0.486911049	79.46449634	N	47.75355336
ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	0.246221394	69.56829441	N	72.41026259
TPRG1L	TPRG1L	TPRG1L	TPRG1L	TPRG1L	-0.117432389	44.89266336	Y	32.72103108
WRAP73	WRAP73	WRAP73	WRAP73	WRAP73	-0.641086234	16.6784619	N	69.63382318
TP73	TP73	TP73	TP73	TP73	-1.726953796	2.441613588	N	9.238737654
CCDC27	CCDC27	CCDC27	CCDC27	CCDC27	2.627531447	98.79688606	N	84.0580583
LRRC47	LRRC47	LRRC47	LRRC47	LRRC47	-0.909290275	10.03184713	N	31.38400385
DFFB	DFFB	DFFB	DFFB	DFFB	-0.071520315	48.34866714	N	33.81112985
C1orf174	C1orf174	C1orf174	C1orf174	C1orf174	1.063778722	91.58410002	N	96.04914478
AJAP1	AJAP1	AJAP1	AJAP1	AJAP1	0.418953042	77.06416608	N	19.68200434
KCNAB2	KCNAB2	KCNAB2	KCNAB2	KCNAB2	-0.426079032	25.36565228	N	2.403035413
CHD5	CHD5	CHD5	CHD5	CHD5	-3.065544169	0.489502241	N	5.817875211
RPL22	RPL22	RPL22	RPL22	RPL22	0.013025609	54.62962963	Y	1.270778126
RNF207	RNF207	RNF207	RNF207	RNF207	0.913082291	89.54352442	N	94.96506866
ICMT	ICMT	ICMT	ICMT	ICMT	0.3032669	72.009908	Y	11.85256565
ACOT7	ACOT7	ACOT7	ACOT7	ACOT7	-0.756778259	13.44656759	N	14.46037099
TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	0.352813824	74.49280491	N	44.76632137
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	1.146346745	92.3920736	N	58.38352204
NOL9	NOL9	NOL9	NOL9	NOL9	-0.688817379	15.20405756	N	66.96579138
TAS1R1	TAS1R1	TAS1R1	TAS1R1	TAS1R1	3.521104333	99.46921444	N	86.25632378
ZBTB48	ZBTB48	ZBTB48	ZBTB48	ZBTB48	-0.997481928	8.47487615	N	22.67525897
PHF13	PHF13	PHF13	PHF13	PHF13	-0.426079032	25.36565228	N	13.75572151
THAP3	THAP3	THAP3	THAP3	THAP3	1.016049644	90.86459071	N	90.76728499
DNAJC11	DNAJC11	DNAJC11	DNAJC11	DNAJC11	-0.156065314	42.16206653	N	12.48494339
VAMP3	VAMP3	VAMP3	VAMP3	VAMP3	-0.075159878	47.78839349	Y	62.81016623
PER3	PER3	PER3	PER3	PER3	1.352134556	94.35598018	N	55.60105999
UTS2	UTS2	UTS2	UTS2	UTS2	1.148343558	92.42745931	N	37.12960732
TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	0.21689899	68.12927577	N	72.84389304
PARK7	PARK7	PARK7	PARK7	PARK7	0.082802743	60.09082331	Y	73.72319923
ERRFI1	ERRFI1	ERRFI1	ERRFI1	ERRFI1	0.352813824	74.49280491	N	45.92869188
RERE	RERE	RERE	RERE	RERE	-2.629516077	0.784383109	N	14.1411708
ENO1	ENO1	ENO1	ENO1	ENO1	-0.181750739	40.15687662	N	73.12695736
SLC2A7	SLC2A7	SLC2A7	SLC2A7	SLC2A7	1.692094639	96.42014626	N	79.31221392
SLC2A5	SLC2A5	SLC2A5	SLC2A5	SLC2A5	-0.198338176	39.17197452	N	45.8383522
GPR157	GPR157	GPR157	GPR157	GPR157	-0.268115223	34.70747818	N	63.21970609
H6PD	H6PD	H6PD	H6PD	H6PD	-0.891174372	10.18518519	N	74.33750903
SPSB1	SPSB1	SPSB1	SPSB1	SPSB1	-0.161524709	41.6430762	Y	3.378703927
SLC25A33	SLC25A33	SLC25A33	SLC25A33	SLC25A33	-0.183570861	39.95046001	Y	47.13924356
PIK3CD	PIK3CD	PIK3CD	PIK3CD	PIK3CD	-1.658985203	2.724699222	N	8.238978559
CLSTN1	CLSTN1	CLSTN1	CLSTN1	CLSTN1	-1.054560763	7.60202878	N	42.66441821
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	0.369407109	74.95281906	Y	34.73259456
LZIC	LZIC	LZIC	LZIC	LZIC	-0.053113545	49.38664779	Y	95.1035895
NMNAT1	NMNAT1	NMNAT1	NMNAT1	NMNAT1	0.148941568	64.31941496	Y	85.55769694
RBP7	RBP7	RBP7	RBP7	RBP7	0.191216164	66.57230479	Y	98.21729704
UBE4B	UBE4B	UBE4B	UBE4B	UBE4B	-1.390744555	4.305260675	N	31.29366418
KIF1B	KIF1B	KIF1B	KIF1B	KIF1B	-1.447883661	3.927813163	N	42.51987473
PGD	PGD	PGD	PGD	PGD	-0.66859065	15.76433121	N	30.96241869
APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	-0.163345027	41.24793583	Y	40.92989641
APITD1	APITD1	APITD1	APITD1	APITD1	0.21326276	67.71644256	Y	73.78944833
CORT	CORT	CORT	CORT	CORT	-0.141298762	42.87567823	Y	41.00216815
DFFA	DFFA	DFFA	DFFA	DFFA	0.507139401	80.10143902	N	91.8754517
CASZ1	CASZ1	CASZ1	CASZ1	CASZ1	-2.416721768	1.055673508	N	35.50951578
TARDBP	TARDBP	TARDBP	TARDBP	TARDBP	-0.383807564	27.41802312	Y	4.625391472
MASP2	MASP2	MASP2	MASP2	MASP2	0.942426495	89.89148384	N	69.81450253
SRM	SRM	SRM	SRM	SRM	-0.383807564	27.41802312	Y	6.655022886
EXOSC10	EXOSC10	EXOSC10	EXOSC10	EXOSC10	-1.238203625	5.490681765	N	21.66947723
MTOR	MTOR	MTOR	MTOR	MTOR	-3.492013613	0.342061807	N	7.118766562
ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	0.17280645	65.75843359	N	81.90797398
UBIAD1	UBIAD1	UBIAD1	UBIAD1	UBIAD1	-0.115612493	45.12856806	N	50.16261142
FBXO44	FBXO44	FBXO44	FBXO44	FBXO44	0.220536484	68.38287332	N	66.11057576
