GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	%ExAC_0.1%popn	%ExAC_0.05%popn	%ExAC_0.01%
AADACL3	1.41	94.54	2.13	97.92	1.47	95.84	0.59	86.31	1.21	93.06	1.46	94.94	2.62	99.03	1.85	96.61	NA	NA	91.37	88.78	88.72
AADACL4	-0.71	12.76	-0.62	17.32	-0.14	40.45	-0.04	45.79	-0.3	33.22	-0.66	14.26	-0.56	19.5	-0.84	10.3	NA	NA	73.68	56.58	82.92
ABCA4	-1.62	2.09	0.74	86.31	0.69	84.39	-0.04	45.95	2.19	97.93	-0.89	7.93	-1.34	5.25	-1.47	3.15	NA	NA	99.23	99.07	99.37
ABCB10	-0.29	33.48	-0.13	43.91	0	49.88	-0.33	25.93	-0.47	24.26	0.29	74.69	-0.08	44.23	-0.31	32.45	NA	NA	36.96	31.93	20.58
ABCD3	-0.56	17.89	-0.65	16.44	-1.34	5.66	-0.45	20	-0.38	29.05	-0.47	23.43	-0.97	9.55	-0.63	16.36	NA	NA	8.89	16.60	6.63
ABL2	-0.6	16.25	-0.99	8.6	-1.87	2.67	-0.3	27.05	-0.14	44.56	-0.21	40.15	-0.96	9.86	-0.8	11.22	NA	NA	6.21	3.20	4.31
ACADM	-0.46	22.89	-0.25	35.99	-0.18	37.81	-0.33	25.66	0.48	79.08	-0.41	27.43	-0.82	12.34	-0.69	14.27	NA	NA	39.86	45.24	33.84
ACAP3	-1.01	6.61	-0.35	29.49	-0.99	9.65	-0.1	40.33	-0.42	26.02	-0.98	6.89	-1.03	8.67	-0.76	12.16	NA	NA	25.05	14.05	19.64
ACBD3	0.05	63.48	0.15	64.51	0.1	56.51	0.36	77.71	0.33	73.49	0.27	74.39	-0.43	24.51	-0.22	39.22	NA	NA	62.97	62.26	56.91
ACBD6	-0.26	36.41	-0.43	25.15	-0.2	36.75	-0.1	41.12	-0.32	32.45	-0.19	43.65	-0.16	39.78	-0.27	35.97	0.35	60.05	30.32	28.33	26.95
ACOT11	1.73	96.23	0.72	85.86	-0.38	27.26	0.38	78.43	1.67	96.1	1.61	95.63	0.34	72.08	0.47	80.26	NA	NA	91.13	88.89	92.33
ACOT7	-0.62	15.69	-0.76	13.45	-1.35	5.54	-0.24	30.91	-0.68	16.14	-0.66	14.79	-0.59	18.91	-0.54	19.74	NA	NA	6.86	9.46	6.23
ACP6	0.7	86.66	0.86	88.74	0.78	86.57	0.74	90.01	0.59	82.27	0.48	81.73	0.9	89.16	0.08	63.86	NA	NA	92.61	92.24	88.73
ACTA1	-0.18	43.45	-0.3	32.62	-0.69	15.99	0	49.5	-0.29	34.57	-0.17	45.6	-0.27	33.32	-0.18	43.38	-2.64	2.02	22.67	18.75	19.71
ACTL8	-0.25	36.77	-0.07	48.69	-0.46	23.84	0.01	50.06	0.09	60.27	-0.36	29.07	-0.1	43.86	-0.15	44.42	NA	NA	73.34	81.93	77.85
ACTN2	-1.17	4.78	-1.72	2.47	-0.71	15.33	-1.64	2.56	-1.85	2.1	-1.4	2.86	-1.72	3.07	-1.13	5.75	NA	NA	14.40	22.29	28.43
ACTRT2	0.62	84.87	0.49	79.46	-0.05	46.41	0.35	76.95	0.31	72.39	0.55	83.48	0.37	73.75	1.05	91.34	NA	NA	73.31	48.76	47.60
ADAM15	-0.07	52.8	-0.57	19.01	0.64	82.76	-0.17	35.58	0.28	70.49	-0.19	41.93	0	50.96	-0.11	48.59	NA	NA	90.53	85.52	91.65
ADAM30	-0.3	33.24	-0.31	32.23	-0.44	24.62	-0.54	16.65	0.1	60.99	0.46	80.68	-0.84	11.97	-0.41	26.19	NA	NA	8.69	8.36	8.72
ADAMTS4	0.03	61.83	0.09	60.71	1.5	96.03	-0.34	25.16	1.61	95.77	0.46	80.68	-0.27	32.51	-0.06	52.14	NA	NA	72.50	93.41	78.69
ADAMTSL4	0.12	67.49	0	53.51	2.35	98.68	-0.83	9.6	-0.39	27.61	0.78	87.75	1.51	95.59	-0.97	7.83	NA	NA	94.58	97.69	99.10
ADAR	-0.36	29.28	-0.64	16.71	-1.04	8.97	-0.9	8.56	-1.1	7.14	-0.64	15.03	-0.78	13.17	-0.14	46.05	NA	NA	2.47	1.72	2.54
ADC	-0.37	28.55	7.61E-05	53.98	0.38	73.11	0.45	81.51	0.18	65.71	-0.6	17.16	-0.01	50.46	-0.35	29.97	NA	NA	68.95	62.57	56.07
ADCK3	-1.16	4.93	-1.7	2.55	-1.4	5.3	-1.33	4.13	-1.92	1.92	-1.44	2.66	-1.53	3.96	-1.4	3.53	NA	NA	74.08	71.17	82.41
ADCY10	0.2	71.31	0.64	83.79	0.99	90.62	-1	7.06	0.61	82.6	0.89	89.57	0.03	53.25	-1.61	2.51	NA	NA	84.59	76.34	61.52
ADIPOR1	-0.18	43.45	-0.3	32.62	-0.54	20.58	0	49.5	-0.16	43.78	-0.09	53.45	-0.41	25.66	-0.27	35.97	-1.68	6.29	18.35	17.64	19.10
ADORA1	-0.43	24.45	-0.2	38.82	-0.25	34	-0.01	48.61	-0.31	33.16	-0.43	25.96	-0.29	31.79	-0.51	21.08	NA	NA	24.22	21.89	31.25
ADORA3	0.26	73.75	-0.09	47.12	-0.18	37.9	-0.09	41.76	-0.01	53.75	0.1	67.15	-0.4	25.82	0.1	65.52	NA	NA	79.92	70.10	78.54
ADPRHL2	-0.11	49.14	-0.58	18.59	-0.05	45.91	-0.4	22.2	-0.07	49.76	-0.51	21.17	0	50.86	-0.09	49.52	NA	NA	26.77	22.32	46.18
ADSS	0.28	74.82	0.01	54.95	0.02	50.77	0.05	53.89	0.12	62.86	0.38	78.32	0.36	73.57	-0.08	50.87	0.2	52.6	26.84	22.53	20.85
AGBL4	0.45	80.65	0.62	83.25	0.79	86.78	0.63	87.69	0.23	68.74	-0.32	33.13	0.93	89.82	0.65	84.92	NA	NA	NA	NA	NA
AGL	1.2	93.03	1.86	97.16	1.18	93.12	0.63	87.37	0.97	90.1	0.63	85.04	2.18	98.36	0.84	88.65	NA	NA	46.41	41.02	28.53
AGMAT	0.28	74.55	0.11	61.91	-0.13	40.91	-0.43	20.77	0.18	65.71	0.46	80.95	0.15	61.42	0.62	84.24	NA	NA	63.88	56.50	76.16
AGRN	-2.26	0.79	-0.22	37.33	0.16	60.77	-0.79	10.2	0.78	87.07	-1.93	1.13	-1.78	2.8	-2.96	0.41	NA	NA	93.93	85.02	97.10
AGT	-0.27	35.3	0.49	79.61	1.39	95.17	0.37	77.97	0.43	77.09	0.15	69.09	-0.29	31.84	-0.14	46.05	NA	NA	87.21	90.89	88.93
AGTRAP	-0.38	28.24	-0.12	45.13	0.79	86.78	0.35	76.89	-0.01	54.49	-0.24	39.98	0.24	67.53	-0.09	49.52	NA	NA	71.83	82.78	70.22
AHCTF1	-0.5	20.55	0.54	81.02	0.76	86	-2.4	0.91	2.41	98.38	0.4	78.33	-1.65	3.35	-1.29	4.21	NA	NA	56.94	69.22	72.78
AHCYL1	-0.26	36.41	-0.43	25.15	-0.93	10.66	-0.1	41.12	-0.39	28.47	-0.24	39.98	-0.31	30.41	-0.21	40.71	-2.2	3.34	17.04	17.88	16.40
AHDC1	-2.13	1	-1.1	6.98	-1.81	2.88	0.04	51.57	-1.31	4.95	-1.49	2.41	-1.79	2.76	-1.5	3.05	NA	NA	0.94	1.59	1.02
AIDA	-0.06	54.08	-0.12	44.54	-0.22	35.67	0.14	61.38	-0.26	36.72	-0.15	47.68	0.11	58.99	0.07	63.34	-1.01	13.36	45.37	48.86	38.11
AIM2	0.55	83.29	0.04	56.92	-0.1	43.29	0.46	81.99	-0.04	51.87	-0.26	38.17	0.28	69.61	0.47	80.57	-0.93	14.77	69.12	38.77	54.75
AJAP1	-0.09	50.47	0.42	77.06	-0.16	39.43	1.06	94.73	-0.17	42.53	-0.05	56.02	0.64	83.72	0.62	84.24	NA	NA	83.67	77.52	65.13
AK2	-0.32	32.09	0.22	68.13	0.22	64.41	0.12	60.24	0.65	83.79	0.23	72.83	0.14	61	-0.39	27.64	NA	NA	93.18	93.11	86.89
AK4	-0.03	56.85	-0.08	47.79	-0.14	40.65	0.17	64.34	-0.09	48.54	-0.05	57.34	0.17	62.87	-0.05	53.64	-0.29	31.75	47.99	48.21	50.53
AK5	-0.25	36.77	-0.8	12.33	-1.04	8.92	-0.57	15.76	-1.33	4.85	-0.83	9.81	-0.25	34.57	-0.09	49.52	NA	NA	6.27	11.20	6.41
